,Run,precision,recall,f1-score,support
macro avg,20,0.4860750360750361,0.5007856341189675,0.4886883736946315,105.0
weighted avg,20,0.7136796536796537,0.7142857142857143,0.708180963165408,105.0
Leve,21,0.7083333333333334,0.6296296296296297,0.6666666666666666,27.0
Moderada,21,0.0,0.0,0.0,3.0
Muito leve,21,0.6486486486486487,0.7272727272727273,0.6857142857142857,33.0
Muito severo,21,0.0,0.0,0.0,1.0
Sadia,21,0.8125,0.8666666666666667,0.8387096774193549,30.0
Severo,21,0.6666666666666666,0.7272727272727273,0.6956521739130435,11.0
accuracy,21,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
macro avg,21,0.47269144144144143,0.49180695847362516,0.4811238006188918,105.0
weighted avg,21,0.6879879879879879,0.7142857142857143,0.6994479587066244,105.0
Leve,22,0.6896551724137931,0.7407407407407407,0.7142857142857143,27.0
Moderada,22,0.0,0.0,0.0,3.0
Muito leve,22,0.7027027027027027,0.7878787878787878,0.7428571428571429,33.0
Muito severo,22,0.0,0.0,0.0,1.0
Sadia,22,0.8571428571428571,0.8,0.8275862068965517,30.0
Severo,22,0.6363636363636364,0.6363636363636364,0.6363636363636364,11.0
accuracy,22,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
macro avg,22,0.4809773947704982,0.49416386083052743,0.4868487834005075,105.0
weighted avg,22,0.7097539481775935,0.7333333333333333,0.7202627257799672,105.0
Leve,23,0.75,0.6666666666666666,0.7058823529411765,27.0
Moderada,23,0.0,0.0,0.0,3.0
Muito leve,23,0.6666666666666666,0.7878787878787878,0.7222222222222222,33.0
Muito severo,23,0.0,0.0,0.0,1.0
Sadia,23,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
Severo,23,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
accuracy,23,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
macro avg,23,0.49621212121212127,0.5025252525252526,0.4981184392949099,105.0
weighted avg,23,0.7166666666666667,0.7333333333333333,0.7227824463118581,105.0
Leve,24,0.7307692307692307,0.7037037037037037,0.7169811320754716,27.0
